,POOL US Equity
,BEST_DIV_YLD
2022-02-11,0.976
2022-02-12,0.976
2022-02-13,0.976
2022-02-14,0.967
2022-02-15,0.948
2022-02-16,0.947
2022-02-17,0.983
2022-02-18,0.958
2022-02-19,0.958
2022-02-20,0.958
2022-02-21,0.958
2022-02-22,1.013
2022-02-23,1.049
2022-02-24,0.999
2022-02-25,0.969
2022-02-26,0.969
2022-02-27,0.969
2022-02-28,0.95
2022-03-01,0.942
2022-03-02,0.916
2022-03-03,0.928
2022-03-04,0.935
2022-03-05,0.935
2022-03-06,0.935
2022-03-07,0.965
2022-03-08,0.973
2022-03-09,0.93
2022-03-10,0.939
2022-03-11,0.96
2022-03-12,0.96
2022-03-13,0.96
2022-03-14,0.963
2022-03-15,0.938
2022-03-16,0.908
2022-03-17,0.893
2022-03-18,0.871
2022-03-19,0.871
2022-03-20,0.871
2022-03-21,0.892
2022-03-22,0.89
2022-03-23,0.923
2022-03-24,0.942
2022-03-25,0.984
2022-03-26,0.984
2022-03-27,0.984
2022-03-28,0.964
2022-03-29,0.934
2022-03-30,0.945
2022-03-31,1.004
2022-04-01,0.999
2022-04-02,0.999
2022-04-03,0.999
2022-04-04,0.986
2022-04-05,0.979
2022-04-06,1.011
2022-04-07,0.997
2022-04-08,1.006
2022-04-09,1.006
2022-04-10,1.006
2022-04-11,1.023
2022-04-12,1.033
2022-04-13,1.007
2022-04-14,1.025
2022-04-15,1.025
2022-04-16,1.025
2022-04-17,1.025
2022-04-18,1.034
2022-04-19,0.988
2022-04-20,0.983
2022-04-21,0.994
2022-04-22,1.033
2022-04-23,1.033
2022-04-24,1.033
2022-04-25,1.005
2022-04-26,1.034
2022-04-27,1.061
2022-04-28,1.029
2022-04-29,1.06
2022-04-30,1.06
2022-05-01,1.06
2022-05-02,1.043
2022-05-03,1.058
2022-05-04,1.031
2022-05-05,1.073
2022-05-06,1.09
2022-05-07,1.09
2022-05-08,1.09
2022-05-09,1.075
2022-05-10,1.085
2022-05-11,1.127
2022-05-12,1.064
2022-05-13,1.042
2022-05-14,1.042
2022-05-15,1.042
2022-05-16,1.068
2022-05-17,1.058
2022-05-18,1.107
2022-05-19,1.089
2022-05-20,1.057
2022-05-21,1.057
2022-05-22,1.057
2022-05-23,1.059
2022-05-24,1.101
2022-05-25,1.089
2022-05-26,1.069
2022-05-27,1.056
2022-05-28,1.056
2022-05-29,1.056
2022-05-30,1.056
2022-05-31,1.075
2022-06-01,1.09
2022-06-02,1.034
2022-06-03,1.052
2022-06-04,1.052
2022-06-05,1.052
2022-06-06,1.041
2022-06-07,1.043
2022-06-08,1.053
2022-06-09,1.029
2022-06-10,1.113
2022-06-11,1.113
2022-06-12,1.113
2022-06-13,1.162
2022-06-14,1.227
2022-06-15,1.211
2022-06-16,1.29
2022-06-17,1.287
2022-06-18,1.287
2022-06-19,1.287
2022-06-20,1.287
2022-06-21,1.426
2022-06-22,1.414
2022-06-23,1.345
2022-06-24,1.33
2022-06-25,1.33
2022-06-26,1.33
2022-06-27,1.368
2022-06-28,1.381
2022-06-29,1.393
2022-06-30,1.388
2022-07-01,1.386
2022-07-02,1.386
2022-07-03,1.386
2022-07-04,1.386
2022-07-05,1.342
2022-07-06,1.308
2022-07-07,1.258
2022-07-08,1.289
2022-07-09,1.289
2022-07-10,1.289
2022-07-11,1.314
2022-07-12,1.305
2022-07-13,1.325
2022-07-14,1.321
2022-07-15,1.304
2022-07-16,1.304
2022-07-17,1.304
2022-07-18,1.308
2022-07-19,1.262
2022-07-20,1.282
2022-07-21,1.427
2022-07-22,1.401
2022-07-23,1.401
2022-07-24,1.401
2022-07-25,1.433
2022-07-26,1.483
2022-07-27,1.433
2022-07-28,1.414
2022-07-29,1.477
2022-07-30,1.477
2022-07-31,1.477
2022-08-01,1.454
2022-08-02,1.468
2022-08-03,1.455
2022-08-04,1.425
2022-08-05,1.414
2022-08-06,1.414
2022-08-07,1.414
2022-08-08,1.384
2022-08-09,1.428
2022-08-10,1.378
2022-08-11,1.404
2022-08-12,1.355
2022-08-13,1.355
2022-08-14,1.355
2022-08-15,1.355
2022-08-16,1.342
2022-08-17,1.367
2022-08-18,1.35
2022-08-19,1.389
2022-08-20,1.389
2022-08-21,1.389
2022-08-22,1.411
2022-08-23,1.465
2022-08-24,1.452
2022-08-25,1.427
2022-08-26,1.498
2022-08-27,1.498
2022-08-28,1.498
2022-08-29,1.535
2022-08-30,1.54
2022-08-31,1.558
2022-09-01,1.568
2022-09-02,1.554
2022-09-03,1.554
2022-09-04,1.554
2022-09-05,1.554
2022-09-06,1.575
2022-09-07,1.529
